Run Date,Account,Account Number,Action,Symbol,Description,Quantity,Price ($),Commission ($),Amount ($),Settlement Date
05/02/2026,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,104.30,05/02/2026
04/29/2026,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,4,556.18,0.00,-2224.72,05/01/2026
04/26/2026,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.214,72.94,0.00,-15.62,04/26/2026
04/22/2026,Individual,Z00001234,YOU SOLD,JEPI,JPM EQUITY PREMIUM INCOME ETF,30,61.84,0.00,1855.20,04/24/2026
04/15/2026,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,1620.42,04/15/2026
04/10/2026,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,5,425.00,0.00,-2125.00,04/12/2026
04/05/2026,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,2.145,288.50,0.00,-619.13,04/05/2026
03/28/2026,Individual,Z00001234,YOU SOLD,VOO,VANGUARD S&P 500 ETF,2,548.00,0.00,1096.00,03/30/2026
03/15/2026,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,42.50,03/15/2026
03/03/2026,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,10,202.50,0.00,-2025.00,03/05/2026
02/20/2026,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.198,72.66,0.00,-14.39,02/20/2026
02/12/2026,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,3,285.40,0.00,-856.20,02/14/2026
