Run Date,Account,Account Number,Action,Symbol,Description,Quantity,Price ($),Commission ($),Amount ($),Settlement Date
04/15/2019,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,25,148.20,0.00,-3705.00,04/17/2019
05/01/2019,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,12,52.50,0.00,-630.00,05/03/2019
06/14/2019,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,42.10,06/14/2019
07/22/2019,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,8,137.45,0.00,-1099.60,07/24/2019
08/05/2019,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,30,82.30,0.00,-2469.00,08/07/2019
08/20/2019,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,9.24,08/20/2019
09/12/2019,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.318,150.60,0.00,-47.89,09/12/2019
10/03/2019,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,6,272.10,0.00,-1632.60,10/07/2019
11/15/2019,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,12.00,11/15/2019
12/06/2019,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,10,66.80,0.00,-668.00,12/10/2019
01/14/2020,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,48.55,01/14/2020
02/03/2020,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,4,302.40,0.00,-1209.60,02/05/2020
03/18/2020,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,40,113.85,0.00,-4554.00,03/20/2020
03/23/2020,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,25,57.30,0.00,-1432.50,03/25/2020
04/06/2020,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,15,153.80,0.00,-2307.00,04/08/2020
05/15/2020,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,18.40,05/15/2020
06/12/2020,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.512,160.45,0.00,-82.15,06/12/2020
07/22/2020,Individual,Z00001234,YOU BOUGHT,JEPI,JPM EQUITY PREMIUM INCOME ETF,50,52.00,0.00,-2600.00,07/24/2020
08/05/2020,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,20,87.60,0.00,-1752.00,08/07/2020
08/31/2020,Individual,Z00001234,YOU SOLD,VOO,VANGUARD S&P 500 ETF,2,338.50,0.00,677.00,09/02/2020
09/14/2020,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,15.30,09/14/2020
10/20/2020,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,15,116.40,0.00,-1746.00,10/22/2020
11/30/2020,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.225,87.95,0.00,-19.79,11/30/2020
12/15/2020,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,71.20,12/15/2020
01/12/2021,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,8,217.90,0.00,-1743.20,01/14/2021
02/05/2021,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,5,361.20,0.00,-1806.00,02/09/2021
03/01/2021,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,12,130.40,0.00,-1564.80,03/03/2021
03/22/2021,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.418,210.45,0.00,-87.97,03/22/2021
04/19/2021,Individual,Z00001234,DIVIDEND RECEIVED,JEPI,JPM EQUITY PREMIUM INCOME ETF,,,,21.30,04/19/2021
05/14/2021,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,22.80,05/14/2021
06/28/2021,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,18,84.50,0.00,-1521.00,06/30/2021
07/15/2021,Individual,Z00001234,YOU SOLD,AAPL,APPLE INC,5,148.00,0.00,740.00,07/19/2021
08/20/2021,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,10,228.40,0.00,-2284.00,08/24/2021
09/10/2021,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,18.50,09/10/2021
10/01/2021,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,3,425.00,0.00,-1275.00,10/05/2021
11/12/2021,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,92.45,11/12/2021
12/06/2021,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.198,84.85,0.00,-16.80,12/06/2021
01/10/2022,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,4,310.20,0.00,-1240.80,01/12/2022
02/14/2022,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,28.50,02/14/2022
02/22/2022,Individual,Z00001234,YOU BOUGHT,JEPI,JPM EQUITY PREMIUM INCOME ETF,40,60.10,0.00,-2404.00,02/24/2022
03/15/2022,Individual,Z00001234,YOU SOLD,VTI,VANGUARD TOTAL STOCK MKT ETF,3,209.80,0.00,629.40,03/17/2022
04/04/2022,Individual,Z00001234,YOU BOUGHT,VOO,VANGUARD S&P 500 ETF,4,415.50,0.00,-1662.00,04/06/2022
05/16/2022,Individual,Z00001234,DIVIDEND RECEIVED,VTI,VANGUARD TOTAL STOCK MKT ETF,,,,98.60,05/16/2022
06/13/2022,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,10,132.40,0.00,-1324.00,06/15/2022
07/25/2022,Individual,Z00001234,REINVESTMENT,VTI,VANGUARD TOTAL STOCK MKT ETF,0.512,198.30,0.00,-101.53,07/25/2022
08/15/2022,Individual,Z00001234,DIVIDEND RECEIVED,MSFT,MICROSOFT CORP,,,,21.40,08/15/2022
09/30/2022,Individual,Z00001234,YOU BOUGHT,BND,VANGUARD TOTAL BOND,25,72.10,0.00,-1802.50,10/04/2022
10/14/2022,Individual,Z00001234,JOURNAL,,FREE BALANCE INTEREST,,,,0.85,10/14/2022
11/11/2022,Individual,Z00001234,DIVIDEND RECEIVED,JEPI,JPM EQUITY PREMIUM INCOME ETF,,,,18.20,11/11/2022
12/05/2022,Individual,Z00001234,YOU BOUGHT,VTI,VANGUARD TOTAL STOCK MKT ETF,6,194.50,0.00,-1167.00,12/07/2022
12/19/2022,Individual,Z00001234,REINVESTMENT,BND,VANGUARD TOTAL BOND,0.310,71.40,0.00,-22.13,12/19/2022
01/20/2023,Individual,Z00001234,YOU BOUGHT,AAPL,APPLE INC,8,138.50,0.00,-1108.00,01/24/2023
02/14/2023,Individual,Z00001234,DIVIDEND RECEIVED,AAPL,APPLE INC,,,,32.10,02/14/2023
03/01/2023,Individual,Z00001234,YOU BOUGHT,MSFT,MICROSOFT CORP,5,250.60,0.00,-1253.00,03/03/2023
